phase=idle runs=20 start_loadavg=0.50 0.65 1.37
phase=idle run=01 rc=0 assertions_ok=32 secs=34.1 loadavg1=0.52
phase=idle run=02 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.31
phase=idle run=03 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.43
phase=idle run=04 rc=0 assertions_ok=32 secs=34.1 loadavg1=0.76
phase=idle run=05 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.58
phase=idle run=06 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.42
phase=idle run=07 rc=0 assertions_ok=32 secs=34.2 loadavg1=0.45
phase=idle run=08 rc=0 assertions_ok=32 secs=33.8 loadavg1=0.45
phase=idle run=09 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.72
phase=idle run=10 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.46
phase=idle run=11 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.50
phase=idle run=12 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.42
phase=idle run=13 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.29
phase=idle run=14 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.56
phase=idle run=15 rc=0 assertions_ok=32 secs=34.1 loadavg1=0.76
phase=idle run=16 rc=0 assertions_ok=32 secs=31.6 loadavg1=0.85
phase=idle run=17 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.70
phase=idle run=18 rc=0 assertions_ok=32 secs=34.1 loadavg1=1.05
phase=idle run=19 rc=0 assertions_ok=32 secs=34.0 loadavg1=0.68
phase=idle run=20 rc=0 assertions_ok=32 secs=33.9 loadavg1=0.41
PHASE idle RESULT: passed=20 failed=0 of 20  end_loadavg=0.41 0.62 0.98
